"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"452209",6565,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"fornicatus",NA,"Cancer fornicatus","unaccepted","Species","synonym","JC Fabricius, 1782","WORMS","442253",495
"452210",11328,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"fossulatus",NA,"Cancer fossulatus","unaccepted","Species","synonym","Girard, 1859","WORMS","444059",496
"452098",2767,"Malacostraca","Decapoda","Cancridae","Cancer","","fragifer",NA,"Cancer fragifer","superseded combination","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","442351",497
"882094",5818,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"francisci",NA,"Cancer francisci","unaccepted","Species","synonym","Curtiss, 1938","WORMS","207578",498
"452211",1260,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"frascone",NA,"Cancer frascone","unaccepted","Species","synonym","Herbst, 1785 [in Herbst, 1782-1790]","WORMS","209490",499
"452088",10456,"Malacostraca","Decapoda","Cancridae","Cancer","","frontalis",NA,"Cancer frontalis","unaccepted","Species","synonym","De Haan, 1835 [in De Haan, 1833-1850]","WORMS","209063",500
"452212",2467,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"furcatus",NA,"Cancer furcatus","unaccepted","Species","synonym","Olivier, 1791","WORMS","421998",501
"452213",180,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gallus",NA,"Cancer gallus","unaccepted","Species","synonym","Herbst, 1803 [in Herbst, 1799-1804]","WORMS","209502",502
"394862",818,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gibbulosus",NA,"Cancer gibbulosus","superseded combination","Species","synonym","(De Haan, 1833 [in De Haan, 1833-1850])","WORMS","440399",503
"452214",9183,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gigas",NA,"Cancer gigas","superseded combination","Species","synonym","Lamarck, 1818","WORMS","440496",504
"452215",9881,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"glaberrima",NA,"Cancer glaberrima","superseded combination","Species","synonym","Herbst, 1790 [in Herbst, 1782-1790]","WORMS","210304",505
"452216",8868,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gladiator",NA,"Cancer gladiator","unaccepted","Species","synonym","Fabricius, 1793","WORMS","1061758",506
