Family,Genus,Subgenus,ScientificName,Species,SubSpecies,taxonRank_gbif,taxonomicStatus_gbif,taxonRank_corr,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,valid_AphiaID,reason_excluded,reason_included,match,comments,link
"""Gecarcinucidae""","""Spiralothelphusa""",NA,"""Spiralothelphusa wuellerstorfi""","""wuellerstorfi""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440830,exact,Checked by Taxonomic Editor,accepted,Spiralothelphusa wuellerstorfi,"(Heller, 1862)",440830,Spiralothelphusa wuellerstorfi,"(Heller, 1862)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Spiralothelphusa,,wuellerstorfi,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Syntripsa""",NA,"""Syntripsa flavichela""","""flavichela""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440860,exact,Checked by Taxonomic Editor,accepted,Syntripsa flavichela,"O.K.S. Chia & P.K.L. Ng, 2006",440860,Syntripsa flavichela,"O.K.S. Chia & P.K.L. Ng, 2006",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Syntripsa,,flavichela,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Maydelliathelphusa""",NA,"""Maydelliathelphusa falcidigitis""","""falcidigitis""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440554,exact,Checked by Taxonomic Editor,accepted,Maydelliathelphusa falcidigitis,"(Alcock, 1909)",440554,Maydelliathelphusa falcidigitis,"(Alcock, 1909)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Maydelliathelphusa,,falcidigitis,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Corystidae""","""Padocatactes""",NA,"""Padocatactes hamifer""","""hamifer""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440356,phonetic,Checked by Taxonomic Editor,accepted,Podocatactes hamifer,"Ortmann, 1893",440356,Podocatactes hamifer,"Ortmann, 1893",Animalia,Arthropoda,Malacostraca,Decapoda,Trichopeltariidae,Podocatactes,,hamifer,,1,0,0,0,,,misspelling,fuzzyWORMS,,
"""Gecarcinucidae""","""Somanniathelphusa""",NA,"""Somanniathelphusa lacuvita""","""lacuvita""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440808,exact,Checked by Taxonomic Editor,accepted,Somanniathelphusa lacuvita,"P.K.L. Ng, 1995",440808,Somanniathelphusa lacuvita,"P.K.L. Ng, 1995",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Somanniathelphusa,,lacuvita,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Oziotelphusa""",NA,"""Oziotelphusa aurantia""","""aurantia""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440680,exact,Checked by Taxonomic Editor,accepted,Oziotelphusa aurantia,"(Herbst, 1799 [in Herbst, 1799-1804])",440680,Oziotelphusa aurantia,"(Herbst, 1799 [in Herbst, 1799-1804])",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Oziotelphusa,,aurantia,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sahyadriana""",NA,"""Sahyadriana keshari""","""keshari""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1548043,exact,Checked by Taxonomic Editor,accepted,Sahyadriana keshari,"Pati & Thackeray, 2021",1548043,Sahyadriana keshari,"Pati & Thackeray, 2021",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sahyadriana,,keshari,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Ghatiana""",NA,"""Ghatiana durrelli""","""durrelli""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1548039,exact,Checked by Taxonomic Editor,accepted,Ghatiana durrelli,"Pati & Thackeray, 2021",1548039,Ghatiana durrelli,"Pati & Thackeray, 2021",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Ghatiana,,durrelli,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Ghatiana""",NA,"""Ghatiana rouxi""","""rouxi""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1548041,exact,Checked by Taxonomic Editor,accepted,Ghatiana rouxi,"Pati & Thackeray, 2021",1548041,Ghatiana rouxi,"Pati & Thackeray, 2021",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Ghatiana,,rouxi,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sahyadriana""",NA,"""Sahyadriana tamhini""","""tamhini""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1548045,exact,Checked by Taxonomic Editor,accepted,Sahyadriana tamhini,"Pati & Thackeray, 2021",1548045,Sahyadriana tamhini,"Pati & Thackeray, 2021",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sahyadriana,,tamhini,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Sahyadriana""",NA,"""Sahyadriana inopinata""","""inopinata""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",1548042,exact,Checked by Taxonomic Editor,accepted,Sahyadriana inopinata,"Pati & Thackeray, 2021",1548042,Sahyadriana inopinata,"Pati & Thackeray, 2021",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sahyadriana,,inopinata,,0,0,1,0,,not marine,,fuzzyWORMS,,
"""Gecarcinucidae""","""Travancoriana""",NA,"""Travancoriana napaea""","""napaea""",NA,"""SPECIES""","""ACCEPTED""","""SPECIES""",440576,exact,Checked by Taxonomic Editor,unaccepted,Travancoriana napaea,"(Alcock, 1909)",1560281,Maydelliathelphusa napaeum,"(Alcock, 1909)",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Travancoriana,,napaea,,0,0,1,,,not marine,,fuzzyWORMS,,
